level,composer,title
0,"Alan Menken","Under the Sea (The Little Mermaid - Melody)"
0,"Nobuo Uematsu","Final Fantasy Prelude (First Arpeggio)"
0,"Koichi Sugiyama","Dragon Quest Overture (Melody)"
0,"Danny Elfman","Main Theme (The Simpsons)"
0,"Traditional","Main Theme (Tetris - Korobeiniki)"
0,"Kazumi Totaka","Bubblegum K.K. (Animal Crossing)"
0,"Kazumi Totaka","Title Screen (Wii Sports)"
0,"Kazumi Totaka & Shinobu Tanaka","Luigi's Mansion Theme (Melody)"
0,"Joe Hisaishi","Yubaba's Theme (Spirited Away)"
0,"Joe Hisaishi","A Girl from the Sky (Laputa - Melody)"
0,"Joe Hisaishi","The Merry-Go-Round of Life (Melody only)"
0,"John Williams","The Force Theme (Simplified Melody)"
0,"Alan Menken","I See the Light (Tangled - Melody)"
0,"Henry Mancini","The Pink Panther Theme (Melody)"
0,"Matthew Wilder","Reflection (Mulan - Melody)"
0,"John Williams","Harry's Wondrous World (Melody Snippet)"
0,"Nino Rota","The Godfather Theme (Melody only)"
0,"Joe Hisaishi","My Neighbor Totoro - Catbus Theme (Melody)"
0,"Jun Ishikawa","Glimmering Star (Kirby - Melody)"
0,"Tomohito Nishiura","Professor Layton's Theme (Melody)"
0,"Koji Kondo","Epona's Song (Simple Melody)"
0,"Koji Kondo","Song of Healing (Majora's Mask - Melody)"
0,"Alan Menken","Part of Your World (The Little Mermaid - Melody)"
0,"John Williams","Indiana Jones Theme (Melody)"
0,"John Williams","Theme from E.T. (Melody)"
0,"Harold Arlen","Over the Rainbow (The Wizard of Oz)"
0,"Henry Mancini","Moon River (Breakfast at Tiffany's)"
0,"Clint Mansell","Requiem for a Dream - Lux Aeterna (Main Motif)"
0,"Ramin Djawadi","Game of Thrones - Main Theme (Opening Notes)"
0,"Ramin Djawadi","Light of the Seven (Opening Arpeggio)"
0,"Alan Silvestri","The Avengers Theme (Melody Snippet)"
0,"Vangelis","Chariots of Fire (Melody)"
0,"Ennio Morricone","The Good, The Bad and The Ugly (Main Whistle)"
0,"Ennio Morricone","Cinema Paradiso (Love Theme - Melody)"
0,"John Williams","Superman Theme (Opening fanfare notes)"
0,"John Williams","Duel of the Fates (Opening chant melody)"
0,"Bob Harris & Paul Francis Webster","Spider-Man (1960s Cartoon Theme)"
0,"Neal Hefti","Batman (1960s TV Theme)"
0,"Monty Norman","James Bond Theme (Main Riff)"
0,"John Williams","Jaws Theme (2-note ostinato)"
0,"Ron Grainer","Doctor Who Theme (Melody)"
0,"Mark Snow","The X-Files Theme (Melody)"
0,"Lalo Schifrin","Mission: Impossible Theme (Melody)"
0,"Richard Strauss","Also sprach Zarathustra (Opening Notes)"
0,"Frankie Sullivan & Jim Peterik","Eye of the Tiger (Survivor - Riff)"
0,"John Deacon","Another One Bites the Dust (Queen - Bassline)"
0,"Deep Purple","Smoke on the Water (Deep Purple - Riff)"
0,"Jack White","Seven Nation Army (The White Stripes - Riff)"
0,"Patrick Doyle","Hogwarts' Hymn (Melody only)"
0,"Patrick Doyle","Neville's Waltz (Melody only)"
0,"Alexandre Desplat","Obliviate (Melody only)"
0,"Alexandre Desplat","Statues (Melody only)"
0,"Alexandre Desplat","Lily's Theme (Melody only)"
0,"Nicholas Hooper","Dumbledore's Army (Melody only)"
0,"Nicholas Hooper","Professor Umbridge (Melody only)"
0,"Alan Silvestri","Forrest Gump - Feather Theme (Melody)"
0,"James Horner","Braveheart - For the Love of a Princess (Melody)"
0,"Hans Zimmer & Lisa Gerrard","Gladiator - Now We Are Free (Melody)"
0,"Jamie Houston","Breaking Free (High School Musical - Melody)"
0,"Matthew Gerrard & Robbie Nevil","We're All In This Together (High School Musical - Melody)"
0,"Andy Dodd & Adam Watts","What I've Been Looking For (High School Musical - Melody)"
0,"Matthew Gerrard & Robbie Nevil","Start of Something New (High School Musical - Melody)"
0,"Ed Sheeran","Perfect (Ed Sheeran - Chorus Melody)"
0,"Ed Sheeran","Shape of You (Ed Sheeran - Xylophone Riff)"
0,"Taylor Swift","Love Story (Taylor Swift - Chorus Melody)"
0,"Taylor Swift","You Belong With Me (Taylor Swift - Chorus Melody)"
0,"Adele & Paul Epworth","Rolling in the Deep (Adele - Chorus Melody)"
0,"Adele & Dan Wilson","Someone Like You (Adele - Chorus Melody)"
0,"The Beatles","Let It Be (The Beatles - Chorus Melody)"
0,"The Beatles","Yellow Submarine (The Beatles - Chorus Melody)"
0,"Billie Eilish & Finneas O'Connell","Bad Guy (Billie Eilish - Main Riff)"
0,"Olivia Rodrigo & Dan Nigro","Drivers License (Olivia Rodrigo - Chorus Melody)"
0,"Max Martin & Andreas Carlsson","I Want It That Way (Backstreet Boys - Chorus Melody)"
0,"ABBA","Mamma Mia (ABBA - Chorus Melody)"
0,"Lin-Manuel Miranda","We Don't Talk About Bruno (Encanto - Melody)"
0,"Lin-Manuel Miranda","Surface Pressure (Encanto - Melody)"
0,"Benj Pasek & Justin Paul","This Is Me (The Greatest Showman - Chorus Melody)"
0,"Benj Pasek & Justin Paul","A Million Dreams (The Greatest Showman - Chorus Melody)"
0,"Stephen Schwartz","Defying Gravity (Wicked - Chorus Melody)"
0,"Lin-Manuel Miranda","My Shot (Hamilton - Chorus Melody)"
0,"The Rembrandts","I'll Be There for You (Friends Theme)"
0,"Jay Ferguson","The Office Theme (Melody)"
0,"Leonard Cohen","Hallelujah (Shrek - Melody)"
0,"Smash Mouth","All Star (Shrek - Melody)"
0,"Nickelback","How You Remind Me (Nickelback - Melody)"
0,"Katy Perry, Dr. Luke, Max Martin","Hot N Cold (Katy Perry - Melody)"
0,"Justin Bieber, The-Dream, Tricky Stewart","Baby (Justin Bieber - Melody)"
0,"Lil Nas X","Old Town Road (Lil Nas X - Melody)"
0,"GAYLE","ABCDEFU (GAYLE - Melody)"
0,"The Weeknd","Blinding Lights (The Weeknd - Synth Riff)"
0,"Camila Cabello","Havana (Camila Cabello - Piano Riff)"
0,"Carly Rae Jepsen","Call Me Maybe (Carly Rae Jepsen - Melody)"
0,"Pharrell Williams","Happy (Pharrell Williams - Melody)"
0,"Taylor Swift","Shake It Off (Taylor Swift - Melody)"
0,"Katy Perry","Firework (Katy Perry - Melody)"
0,"Black Eyed Peas","I Gotta Feeling (Black Eyed Peas - Melody)"
0,"LMFAO","Party Rock Anthem (LMFAO - Melody)"
0,"Avicii","Wake Me Up (Avicii - Melody)"
0,"Katy Perry","Roar (Katy Perry - Melody)"
0,"Mark Ronson, Bruno Mars, etc.","Uptown Funk (Mark Ronson ft. Bruno Mars - Melody)"
0,"Taylor Swift","I Knew You Were Trouble (Taylor Swift - Melody)"
0,"Miley Cyrus","Wrecking Ball (Miley Cyrus - Melody)"
0,"Traditional","The Wheels on the Bus"
0,"Traditional","Old MacDonald Had a Farm"
0,"Traditional","Mary Had a Little Lamb"
0,"Vic Mizzy","The Addams Family Theme (Melody + Snaps)"
0,"Mark Harrison & Blaise Smith","SpongeBob SquarePants Theme (Melody)"
0,"Michael Smidi Smith & Scott Krippayne","Paw Patrol Theme (Melody)"
0,"Joff Bush","Bluey Theme Tune (Melody)"
0,"Julian Nott","Peppa Pig Theme (Melody)"
0,"Mike O'Donnell & Junior Campbell","Thomas the Tank Engine Theme (Melody)"
0,"Paul K. Joyce","Bob the Builder Theme (Melody)"
0,"Joe Raposo","Sesame Street Theme (Melody)"
0,"Hoyt Curtin","The Flintstones Theme (Melody)"
0,"David Mook & Ben Raleigh","Scooby Doo, Where Are You! (Melody)"
0,"Terry Gilkyson","The Bare Necessities (The Jungle Book - Melody)"
0,"Elton John","Hakuna Matata (The Lion King - Melody)"
0,"Sherman Brothers","Supercalifragilisticexpialidocious (Mary Poppins - Melody)"
0,"Sherman Brothers","A Spoonful of Sugar (Mary Poppins - Melody)"
0,"Allie Wrubel","Zip-a-Dee-Doo-Dah (Song of the South)"
0,"Sherman Brothers","It's a Small World"
0,"Jimmie Dodd","Mickey Mouse March"
0,"Frank Churchill","Heigh-Ho (Snow White - Melody)"
0,"Frank Churchill","Whistle While You Work (Snow White - Melody)"
0,"Mack David, Al Hoffman, Jerry Livingston","The Unbirthday Song (Alice in Wonderland)"
0,"Vince Guaraldi","Linus and Lucy (Peanuts - Opening Riff)"
0,"Alan Silvestri","Back to the Future - Main Theme (Opening Notes)"
0,"Michael Giacchino","The Incredibles - Main Theme (Opening Notes)"
0,"Danny Elfman","Batman (1989) - Main Theme (Opening Motif)"
0,"Danny Elfman","Edward Scissorhands - Ice Dance (Melo.dy)"
0,"Danny Elfman","The Nightmare Before Christmas - Jack's Lament (Melody)"
0,"Bill Conti","Rocky - Gonna Fly Now (Fanfare)"
0,"Alexander Courage","Star Trek (The Original Series) - Main Theme (Melody)"
0,"Jerry Goldsmith","Star Trek: The Next Generation - Main Theme (Melody)"
0,"Cyndi Lauper","The Goonies 'R' Good Enough (Melody)"
0,"Ray Parker Jr.","Ghostbusters (Melody)"
0,"Kenny Loggins","Footloose (Melody)"
0,"Giorgio Moroder","What a Feeling (Flashdance - Melody)"
0,"Huey Lewis","The Power of Love (Back to the Future - Melody)"
0,"Giorgio Moroder","Take My Breath Away (Top Gun - Melody)"
0,"Giorgio Moroder","Danger Zone (Top Gun - Melody)"
0,"Neil Diamond","I'm a Believer (Shrek - Melody)"
0,"Richard Rodgers","The Sound of Music - Main Theme (Melody)"
0,"Richard Rodgers","My Favorite Things (The Sound of Music - Melody)"
0,"Richard Rodgers","Edelweiss (The Sound of Music - Melody)"
0,"Charles Strouse","Tomorrow (Annie - Melody)"
0,"Jim Jacobs & Warren Casey","Summer Nights (Grease - Melody)"
0,"Jim Jacobs & Warren Casey","Greased Lightnin' (Grease - Melody)"
0,"Kate Bush","Stranger Things - Running Up That Hill (Kate Bush - Riff)"
0,"Sonya Belousova & Giona Ostinelli","Toss a Coin to Your Witcher (The Witcher - Melody)"
0,"Rebecca Sugar","Steven Universe - We Are the Crystal Gems (Melody)"
0,"Ashley Eriksson","Adventure Time - Island Song (Come Along With Me)"
0,"Dan Povenmire","Phineas and Ferb - Gitchee Gitchee Goo (Melody)"
0,"Freddie Perren & Dino Fekaris","I Will Survive (Gloria Gaynor - Melody)"
0,"Village People","Y.M.C.A. (Village People - Melody)"
0,"Eurythmics","Sweet Dreams (Are Made of This) (Eurythmics - Riff)"
0,"Michael Jackson","Billie Jean (Michael Jackson - Bassline)"
0,"Tom Kelly & Billy Steinberg","Like a Virgin (Madonna - Bassline)"
0,"Michael Jackson","Beat It (Michael Jackson - Riff)"
0,"Prince","When Doves Cry (Prince - Riff)"
0,"Dexys Midnight Runners","Come On Eileen (Dexys Midnight Runners - Fiddle Riff)"
0,"Vanilla Ice, Queen, David Bowie","Ice Ice Baby (Vanilla Ice - Bassline)"
0,"Spice Girls","Wannabe (Spice Girls - Melody)"
0,"Max Martin","...Baby One More Time (Britney Spears - Melody)"
0,"Kristian Lundin, Jake Schulze, Andreas Carlsson","Bye Bye Bye (NSYNC - Melody)"
0,"50 Cent","In Da Club (50 Cent - Riff)"
0,"André 3000","Hey Ya! (OutKast - Melody)"
0,"Beyoncé","Crazy in Love (Beyoncé - Horn Riff)"
0,"Max Martin & Dr. Luke","Since U Been Gone (Kelly Clarkson - Melody)"
0,"Linkin Park","In the End (Linkin Park - Piano Riff)"
0,"My Chemical Romance","Welcome to the Black Parade (My Chemical Romance - Opening Notes)"
0,"Fall Out Boy","Thnks fr th Mmrs (Fall Out Boy - Melody)"
0,"The Killers","Mr. Brightside (The Killers - Riff)"
0,"Beyoncé","Single Ladies (Put a Ring on It) (Beyoncé - Riff)"
0,"Adele & Paul Epworth","Rolling in the Deep (Adele - Opening Riff)"
0,"Gotye","Somebody That I Used to Know (Gotye - Xylophone Riff)"
0,"Daft Punk","Get Lucky (Daft Punk - Bassline)"
0,"Lorde","Royals (Lorde - Melody)"
0,"Sia","Chandelier (Sia - Melody)"
0,"Adele","Hello (Adele - Opening Piano)"
0,"Justin Bieber","Sorry (Justin Bieber - Synth Riff)"
0,"Luis Fonsi","Despacito (Luis Fonsi - Melody)"
0,"Migos","Bad and Boujee (Migos - Riff)"
0,"Cardi B","Bodak Yellow (Cardi B - Riff)"
0,"Travis Scott","Sicko Mode (Travis Scott - Riff)"
0,"Lizzo","Truth Hurts (Lizzo - Piano Intro)"
0,"Harry Styles","As It Was (Harry Styles - Synth Riff)"
0,"Glass Animals","Heat Waves (Glass Animals - Riff)"
0,"Olivia Rodrigo","Good 4 U (Olivia Rodrigo - Bassline)"
0,"The Kid LAROI & Justin Bieber","Stay (The Kid LAROI & Justin Bieber - Riff)"
0,"Olivia Rodrigo","Vampire (Olivia Rodrigo - Piano Intro)"
1,"Toshiro Masuda","Sadness and Sorrow (Naruto)"
1,"Joe Hisaishi","A Town with an Ocean View (Basic chord accompaniment)"
1,"Yoko Shimomura","Dearly Beloved (Kingdom Hearts)"
1,"Joe Hisaishi","Path of the Wind (My Neighbor Totoro)"
1,"Nobuo Uematsu","To Zanarkand (Opening arpeggio only)"
1,"Nobuo Uematsu","Aerith's Theme (Final Fantasy VII - Simplified)"
1,"Kenta Nagata","Dragon Roost Island (The Legend of Zelda: The Wind Waker)"
1,"Koji Kondo","Lost Woods / Saria's Song (Ocarina of time)"
1,"Nobuo Uematsu","Main Theme (Final Fantasy)"
1,"Satoshi Tajiri & John Loeffler","Lugia's Song (Pokémon: The Movie 2000)"
1,"Toby Fox","His Theme (Undertale)"
1,"Carter Burwell","Bella's Lullaby (Twilight)"
1,"Claude Debussy","Clair de Lune (Simplified first section)"
1,"Koji Kondo","The Legend of Zelda - Main Theme (Simplified)"
1,"Yasunori Mitsuda","Schala's Theme (Chrono Trigger - Simplified)"
1,"Yoko Kanno","Memory (Cowboy Bebop)"
1,"Shoji Meguro","Memories of You (Persona 3)"
1,"Nobuo Uematsu","Victory Fanfare (Final Fantasy)"
1,"Junichi Masuda","National Park (Pokémon Gold/Silver)"
1,"Di'LL","Pure Heart (Shugo Chara!)"
1,"Nobuo Uematsu","Terra's Theme (Final Fantasy VI - Simplified)"
1,"ZUN","Ruin of a Resentful Ghost (Touhou)"
1,"Hidenori Chiwata","Butterfly (Digimon Adventure - Chorus)"
1,"Akira Yamaoka","Promise (Silent Hill 2 - Simplified)"
1,"John Siegler & John Loeffler","Pokémon Theme (Gotta Catch 'Em All)"
1,"Hiroki Kikuta","Fear of the Heavens (Secret of Mana)"
1,"Nobuo Uematsu","Musica Celestis (Final Fantasy X)"
1,"Jun Maeda","Tears After the Cloudy Weather (Clannad)"
1,"Yoko Kanno","Platinum (Cardcaptor Sakura - Simplified)"
1,"Tomohito Nishiura","Opening (Professor Layton and the Curious Village)"
1,"Kazumi Totaka","Fable (The Legend of Zelda: Link's Awakening)"
1,"Nobuo Uematsu","Prelude (Final Fantasy Series)"
1,"Yuka Tsujiyoko","Title Theme (Fire Emblem)"
1,"Minako Hamano","Mabe Village (The Legend of Zelda: Link's Awakening)"
1,"Koji Kondo","Lon Lon Ranch (Ocarina of Time)"
1,"Koji Kondo","Windmill Hut / Song of Storms (Simplified)"
1,"Joe Hisaishi","Spirited Away - Main Theme (Simplified Melody with Bass)"
1,"Yoshiki Mizuno","Blue Bird (Naruto Shippuden - Simplified Chorus)"
1,"Jun Ishikawa","Gourmet Race (Kirby Super Star)"
1,"Yasunori Mitsuda","Secret of the Forest (Chrono Trigger)"
1,"John Williams","Hedwig's Theme (with simple LH)"
1,"John Williams","Fawkes the Phoenix (Simplified)"
1,"John Williams","Double Trouble (with simple rhythm)"
1,"John Williams","Leaving Hogwarts (with simple LH chords)"
1,"Howard Shore","Concerning Hobbits (with I-V chords)"
1,"James Horner","My Heart Will Go On (Simple piano solo)"
1,"John Williams","Jurassic Park Theme (with simple chords)"
1,"Yiruma","Kiss the Rain (Simplified Opening)"
1,"Ludovico Einaudi","Nuvole Bianche (Opening Ostinato)"
1,"Ludovico Einaudi","Primavera (Simple LH Pattern)"
1,"Blonde Redhead","For the Damaged Coda"
1,"Erik Satie","Gymnopédie No. 1 (Simplified)"
1,"Roland Orzabal","Mad World (Simplified)"
1,"Klaus Badelt","He's a Pirate (Simplified Melody with LH rhythm)"
1,"Michael Giacchino","Up - Married Life (Opening Ostinato)"
1,"John Williams","Star Wars - The Force Theme (with simple chords)"
1,"Joe Hisaishi","Howl's Moving Castle - Merry-Go-Round of Life (Simplified Waltz)"
1,"John Williams","The Imperial March (with simple chords)"
1,"Nobuo Uematsu","Chocobo Theme (with simple accompaniment)"
1,"Joe Hisaishi","A Town with an OceanView (Arpeggio practice)"
1,"James Newton Howard","The Hanging Tree (The Hunger Games)"
1,"Jeremy Soule","Skyrim - Dragonborn Theme (Dovahkiin - simplified)"
1,"C418","Aria Math (Minecraft)"
1,"C418","Wet Hands (Minecraft)"
1,"C418","Mice on Venus (Minecraft)"
1,"Ben E. King","Stand By Me"
1,"Leonard Cohen","Hallelujah (Shrek version)"
1,"Paul Simon","The Sound of Silence"
1,"The Beatles","Let It Be"
1,"John Lennon","Imagine"
1,"Queen","Bohemian Rhapsody (Simple melody with chords)"
1,"Ramin Djawadi","Light of the Seven (Game of Thrones - simplified)"
1,"Ramin Djawadi","Game of Thrones - Main Theme (simplified)"
1,"Ramin Djawadi","Westworld - Main Theme (simplified)"
1,"Gustavo Santaolalla","The Last of Us - Main Theme (simplified melody)"
1,"Yann Tiersen","Comptine d'un autre été (Opening section)"
1,"Jun Maeda","Angel Beats! Theme (Simplified)"
1,"Kayo Konishi & Yukio Kondō","Lilium (Elfen Lied - simplified)"
1,"John Powell","Main Theme (How to Train Your Dragon)"
1,"John Powell","Test Drive (HTTYD - simplified)"
1,"Joe Hisaishi","The Name of Life (Simplified with LH chords)"
1,"Joe Hisaishi","Carrying You (Simplified with LH chords)"
1,"Nobuo Uematsu","Main Theme (Final Fantasy VII - simplified)"
1,"Nobuo Uematsu","Prelude (Final Fantasy VII - simplified)"
1,"DJ Frank E, Charlie Puth, Wiz Khalifa","See You Again (Wiz Khalifa ft. Charlie Puth)"
1,"Ed Sheeran","Perfect (Ed Sheeran)"
1,"Adele Adkins & Dan Wilson","Someone Like You (Adele - simplified)"
1,"John Legend & Toby Gad","All of Me (John Legend - simplified)"
1,"Vanessa Carlton","A Thousand Miles (Vanessa Carlton - riff)"
1,"Ryan Tedder","Apologize (OneRepublic - riff)"
1,"Coldplay","Clocks (Coldplay - riff)"
1,"Johann Pachelbel","Canon in D (simplified)"
1,"Hoagy Carmichael","Heart and Soul (The 'Chopsticks' Duet)"
1,"Bill Withers","Lean on Me (Simple Chords)"
1,"Bob Marley","Three Little Birds (Simple Chords)"
1,"Journey","Don't Stop Believin' (Chorus with simple chords)"
1,"Jason Mraz","I'm Yours (Jason Mraz - Simple Chords)"
1,"Train","Hey, Soul Sister (Train - Simple Chords)"
1,"Van Morrison","Brown Eyed Girl (Van Morrison - Simple Chords)"
1,"Neil Diamond","Sweet Caroline (Neil Diamond - Simple Chords)"
1,"John Denver","Country Roads, Take Me Home (John Denver - Simple Chords)"
1,"Bob Dylan","Knockin' on Heaven's Door (Bob Dylan - Simple Chords)"
1,"The Top Notes","Twist and Shout (The Beatles - Simple Chords)"
1,"The Beatles","Love Me Do (The Beatles - Simple Chords)"
1,"John Newton","Amazing Grace"
1,"James Lord Pierpont","Jingle Bells"
1,"Traditional","Deck the Halls"
1,"Traditional","We Wish You a Merry Christmas"
1,"Franz Xaver Gruber","Silent Night"
1,"Clint Mansell","Requiem for a Dream - Lux Aeterna (Simple Ostinato)"
1,"John Williams","Indiana Jones - Raiders March (Simplified)"
1,"John Williams","Duel of the Fates (Simplified RH)"
1,"John Williams","Across the Stars (Simplified)"
1,"Alan Silvestri","The Avengers Theme (Simplified)"
1,"Alan Silvestri","Portals (Avengers: Endgame - simplified)"
1,"Hans Zimmer & Lisa Gerrard","Now We Are Free (Gladiator - with simple chords)"
1,"Hans Zimmer","Time (Inception - basic chords)"
1,"Ennio Morricone","The Good, the Bad and the Ugly (with basic chords)"
1,"Ennio Morricone","Cinema Paradiso (with simple chords)"
1,"Alan Silvestri","Forrest Gump Theme (with simple chords)"
1,"James Horner","Braveheart Theme (with simple chords)"
1,"Vangelis","Chariots of Fire (with simple chords)"
1,"Vangelis","Blade Runner - Main Titles (simplified)"
1,"Ennio Morricone","The Ecstasy of Gold (The Good, the Bad and the Ugly)"
1,"Ennio Morricone","Gabriel's Oboe (The Mission)"
1,"Alex North","Unchained Melody (Ghost)"
1,"John Barry","Somewhere in Time - Main Theme"
1,"John Barry","Dances with Wolves - John Dunbar Theme"
1,"John Barry","Out of Africa - Main Theme"
1,"Alexandre Desplat","The Shape of Water - Main Theme (simplified)"
1,"Alexandre Desplat","The Imitation Game - Main Theme (simplified)"
1,"Alexandre Desplat","The Grand Budapest Hotel - Mr. Moustafa"
1,"Thomas Newman","American Beauty - Any Other Name"
1,"Thomas Newman","Road to Perdition - Main Theme"
1,"Thomas Newman","Finding Nemo - Nemo Egg (with simple chords)"
1,"Thomas Newman","WALL-E - Define Dancing (simplified)"
1,"M83","Oblivion - Main Theme (simplified)"
1,"Daft Punk","TRON: Legacy - The Grid (simplified)"
1,"Trent Reznor & Atticus Ross","The Social Network - Hand Covers Bruise"
1,"Trent Reznor & Atticus Ross","Gone Girl - Sugar Storm"
1,"Hans Zimmer","The Last Samurai - A Way of Life (simplified)"
1,"Hans Zimmer","King Arthur - Tell Me Now (What You See)"
1,"Hans Zimmer","Pearl Harbor - Tennessee (simplified)"
1,"Hans Zimmer","The Holiday - Maestro"
1,"Matthew Gerrard & Robbie Nevil","Start of Something New (HSM - with basic chords)"
1,"Jamie Houston","Breaking Free (HSM - with basic chords)"
1,"Jamie Houston","You Are the Music in Me (HSM 2 - simplified)"
1,"Andy Dodd & Adam Watts","Gotta Go My Own Way (HSM 2 - simplified)"
1,"Adam Watts & Andy Dodd","This Is Me (Camp Rock - simplified)"
1,"Jessi Alexander & Jon Mabe","The Climb (Hannah Montana - simplified)"
1,"Taylor Swift & Liz Rose","Teardrops on My Guitar (Taylor Swift - simplified)"
1,"Ed Sheeran & Amy Wadge","Thinking Out Loud (Ed Sheeran - simplified)"
1,"Ed Sheeran & Johnny McDaid","Photograph (Ed Sheeran - simplified)"
1,"Adele & Greg Kurstin","Hello (Adele - simplified)"
1,"Bruno Mars, Philip Lawrence, Ari Levine","Just the Way You Are (Bruno Mars - simplified)"
1,"Bruno Mars, Philip Lawrence, Ari Levine","Grenade (Bruno Mars - simplified)"
1,"Lady Gaga & RedOne","Poker Face (Lady Gaga - simplified riff)"
1,"Lady Gaga & RedOne","Bad Romance (Lady Gaga - simplified chorus)"
1,"Rihanna, The-Dream, Tricky Stewart","Umbrella (Rihanna - simplified)"
1,"Coldplay","Viva La Vida (Coldplay - simplified)"
1,"Ryan Tedder","Counting Stars (OneRepublic - simplified)"
1,"Imagine Dragons","Radioactive (Imagine Dragons - simplified)"
1,"Sam Smith, Jimmy Napes, William Phillips","Stay With Me (Sam Smith - simplified)"
1,"Sia & Jesse Shatkin","Chandelier (Sia - simplified)"
1,"Justin Bieber, Julia Michaels, Justin Tranter","Sorry (Justin Bieber - simplified)"
1,"Rami Yacoub, Carl Falk, Savan Kotecha","What Makes You Beautiful (One Direction - simplified)"
